Persona_ID,Model,Temperature,Prompt_Strategy,SD_econ,Mean_econ,SD_polit,Mean_polit,OSS
user_01,gemini2.5pro,0.2,cot,0.08843076387773657,6.758,0.47318072657283916,0.0,0.48137303622035166
user_01,gemini2.5pro,0.2,zero,0.8104443225786705,6.808,0.7894491750581542,0.21600000000000003,1.1313929467696004
user_01,gemini2.5pro,0.7,cot,0.053665631459995,6.784000000000001,0.4057955150072509,0.688,0.40932871875791954
user_01,gemini2.5pro,0.7,zero,0.49510604924601764,7.206,0.519692216605175,-0.196,0.7177813037409098
user_01,gemini2.5pro,1.0,cot,0.11180339887498948,6.709999999999999,0.6577081419596384,0.554,0.6671431630467332
user_01,gemini2.5pro,1.0,zero,0.2942278029010854,7.382,0.3840963420809941,-0.23400000000000004,0.4838388161361178
user_01,gpt4o,0.2,cot,0.7071067811865476,6.01,0.13874436925511607,-0.76,0.7205900360121559
user_01,gpt4o,0.2,zero,0.21651789764358972,5.883999999999999,0.36166282640050246,0.8399999999999999,0.4215210552273753
user_01,gpt4o,0.7,cot,0.32529986166612485,5.857999999999999,0.49433794108888707,-0.8720000000000001,0.591768535831367
user_01,gpt4o,0.7,zero,0.2276400667720865,5.831999999999999,0.45877009492773174,0.852,0.5121425582784543
user_01,gpt4o,1.0,cot,0.3706480810688219,5.084,0.2225982928955207,-0.4,0.43235402160729347
user_01,gpt4o,1.0,zero,0.4261103143553321,5.757999999999999,1.103190826647865,1.056,1.1826242006656214
user_01,qwen,0.2,cot,0.0,4.26,0.3937892837546497,-0.358,0.3937892837546497
user_01,qwen,0.2,zero,0.07120393247567154,5.6819999999999995,0.08944271909999155,1.65,0.11432410069622234
user_01,qwen,0.7,cot,0.570087712549569,3.8099999999999996,0.48800614750226257,-0.06000000000000001,0.7504332082204253
user_01,qwen,0.7,zero,0.7082584274119158,5.783999999999999,0.22371857321197097,1.67,0.7427516408598503
user_01,qwen,1.0,cot,0.6912452531482585,4.257999999999999,0.6213935950748125,-0.11400000000000002,0.9294891069829705
user_01,qwen,1.0,zero,0.6380673945595403,5.656000000000001,0.2656124997058686,1.67,0.6911439792112785
user_02,gemini2.5pro,0.2,cot,1.0145836584530623,6.133999999999999,0.7227378501227123,-0.85,1.2456845507591399
user_02,gemini2.5pro,0.2,zero,0.0,7.63,0.36887667315784556,-0.818,0.36887667315784556
user_02,gemini2.5pro,0.7,cot,0.5339194695831948,5.9319999999999995,0.6054585039455636,-1.0260000000000002,0.8072484128197466
user_02,gemini2.5pro,0.7,zero,0.42669661353237853,7.281999999999999,0.6799117589805312,-1.026,0.80271414588258
user_02,gemini2.5pro,1.0,cot,0.798517376141559,5.7059999999999995,0.25657357619209353,-1.006,0.8387252231809892
user_02,gemini2.5pro,1.0,zero,0.46770717334674267,7.13,0.24365959862069872,-1.038,0.5273708372672877
user_02,gpt4o,0.2,cot,0.7510858805755837,5.356,0.193778223750761,-3.95,0.775680346534576
user_02,gpt4o,0.2,zero,0.2651791847034755,5.508,0.42198341199625355,-1.938,0.49838739951969074
user_02,gpt4o,0.7,cot,0.8765728720420224,5.734,0.3389985250705377,-3.908,0.9398404119849283
user_02,gpt4o,0.7,zero,0.44567925686529325,5.305999999999999,0.7804293690014491,-1.7720000000000002,0.8987213138676527
user_02,gpt4o,1.0,cot,1.0205733682592348,5.008,0.6906011873722778,-3.4659999999999997,1.2322743201089599
user_02,gpt4o,1.0,zero,0.5648628152038334,5.008,0.736831052548683,-1.572,0.9284341656789673
user_02,qwen,0.2,cot,0.12501999840025596,4.384,0.31292171544972713,-0.8019999999999999,0.33697180890988493
user_02,qwen,0.2,zero,0.06572670690061999,6.082,0.17672011770027768,-0.23399999999999999,0.18854707634964804
user_02,qwen,0.7,cot,0.4561469061607236,4.308,0.24600812994695928,-0.6580000000000001,0.5182566931550426
user_02,qwen,0.7,zero,0.13557285864065866,6.156,0.3058594448435425,-0.08,0.3345594117641888
user_02,qwen,1.0,cot,0.5466443084858746,3.6819999999999995,0.28943047524405585,-0.658,0.6185386002506231
user_02,qwen,1.0,zero,0.10401922899156676,6.282,0.4281588490268536,-0.472,0.44061320906209794
