Persona_ID,Model,Temperature,Prompt_Strategy,SD_econ,Mean_econ,SD_polit,Mean_polit,OSS,Confidence,Entropy
user_01,gemini2.5pro,0.2,cot,0.0884307638777365,6.758,0.4731807265728391,0.0,0.4813730362203516,high,0.2089882602589062
user_01,gemini2.5pro,0.2,zero,0.8104443225786705,6.808,0.7894491750581542,0.216,1.1313929467696004,high,0.1820059119472924
user_01,gemini2.5pro,0.7,cot,0.053665631459995,6.784000000000001,0.4057955150072509,0.688,0.4093287187579195,high,0.1671991685092829
user_01,gemini2.5pro,0.7,zero,0.4951060492460176,7.206,0.519692216605175,-0.196,0.7177813037409098,high,0.2218914860653578
user_01,gemini2.5pro,1.0,cot,0.1118033988749894,6.709999999999999,0.6577081419596384,0.554,0.6671431630467332,high,0.2101641569576168
user_01,gemini2.5pro,1.0,zero,0.2942278029010854,7.382,0.3840963420809941,-0.234,0.4838388161361178,high,0.2516311020294663
user_01,gpt4o,0.2,cot,0.7071067811865476,6.01,0.138744369255116,-0.76,0.7205900360121559,high,0.2863536499554011
user_01,gpt4o,0.2,zero,0.2165178976435897,5.883999999999999,0.3616628264005024,0.8399999999999999,0.4215210552273753,high,0.1248784734164966
user_01,gpt4o,0.7,cot,0.3252998616661248,5.857999999999999,0.494337941088887,-0.8720000000000001,0.591768535831367,high,0.373585652638869
user_01,gpt4o,0.7,zero,0.2276400667720865,5.831999999999999,0.4587700949277317,0.852,0.5121425582784543,high,0.3758946445255002
user_01,gpt4o,1.0,cot,0.3706480810688219,5.084,0.2225982928955207,-0.4,0.4323540216072934,high,0.5342070791568364
user_01,gpt4o,1.0,zero,0.4261103143553321,5.757999999999999,1.103190826647865,1.056,1.1826242006656214,high,0.5338849324790627
user_01,qwen,0.2,cot,0.0,4.26,0.3937892837546497,-0.358,0.3937892837546497,high,0.1454092088248846
user_01,qwen,0.2,zero,0.0712039324756715,5.6819999999999995,0.0894427190999915,1.65,0.1143241006962223,high,0.0429649884483338
user_01,qwen,0.7,cot,0.570087712549569,3.81,0.4880061475022625,-0.06,0.7504332082204253,high,0.2274060213703471
user_01,qwen,0.7,zero,0.7082584274119158,5.783999999999999,0.2237185732119709,1.67,0.7427516408598503,high,0.132505983018433
user_01,qwen,1.0,cot,0.6912452531482585,4.257999999999999,0.6213935950748125,-0.114,0.9294891069829704,high,0.3257504222410933
user_01,qwen,1.0,zero,0.6380673945595403,5.656000000000001,0.2656124997058686,1.67,0.6911439792112785,high,0.2224524518436057
user_02,gemini2.5pro,0.2,cot,1.0145836584530623,6.133999999999999,0.7227378501227123,-0.85,1.24568455075914,high,0.2639193969154552
user_02,gemini2.5pro,0.2,zero,0.0,7.63,0.3688766731578455,-0.818,0.3688766731578455,high,0.1390409234989585
user_02,gemini2.5pro,0.7,cot,0.5339194695831948,5.9319999999999995,0.6054585039455636,-1.0260000000000002,0.8072484128197466,high,0.1714544795382619
user_02,gemini2.5pro,0.7,zero,0.4266966135323785,7.281999999999999,0.6799117589805312,-1.026,0.80271414588258,high,0.1917463958461758
user_02,gemini2.5pro,1.0,cot,0.798517376141559,5.7059999999999995,0.2565735761920935,-1.006,0.8387252231809892,high,0.228498590491758
user_02,gemini2.5pro,1.0,zero,0.4677071733467426,7.13,0.2436595986206987,-1.038,0.5273708372672877,high,0.1611530298611306
user_02,gpt4o,0.2,cot,0.7510858805755837,5.356,0.193778223750761,-3.95,0.775680346534576,high,0.3691208849445007
user_02,gpt4o,0.2,zero,0.2651791847034755,5.508,0.4219834119962535,-1.938,0.4983873995196907,high,0.1871149729972082
user_02,gpt4o,0.7,cot,0.8765728720420224,5.734,0.3389985250705377,-3.908,0.9398404119849284,high,0.3718781525969953
user_02,gpt4o,0.7,zero,0.4456792568652932,5.305999999999999,0.7804293690014491,-1.7720000000000002,0.8987213138676527,high,0.4651134924178256
user_02,gpt4o,1.0,cot,1.0205733682592348,5.008,0.6906011873722778,-3.4659999999999997,1.23227432010896,high,0.517048542321406
user_02,gpt4o,1.0,zero,0.5648628152038334,5.008,0.736831052548683,-1.572,0.9284341656789672,high,0.6041544159167843
user_02,qwen,0.2,cot,0.1250199984002559,4.384,0.3129217154497271,-0.8019999999999999,0.3369718089098849,high,0.153036718426821
user_02,qwen,0.2,zero,0.0657267069006199,6.082,0.1767201177002776,-0.2339999999999999,0.188547076349648,high,0.0662529915092165
user_02,qwen,0.7,cot,0.4561469061607236,4.308,0.2460081299469592,-0.6580000000000001,0.5182566931550426,high,0.2574677840122294
user_02,qwen,0.7,zero,0.1355728586406586,6.156,0.3058594448435425,-0.08,0.3345594117641888,high,0.1947424825991446
